id,subzone,planning_area,venue_type,competitor_score,competitor_density,created_at,competitor_count,underserved_score,overall_score
4198,EAST COAST,MARINE PARADE,RESTAURANT,98.26,extremely high,2025-04-18 14:19:19.619205,13,0.00,8.36
4199,EAST COAST,MARINE PARADE,SHOPPING,23.62,unknown,2025-04-18 14:19:19.660879,,0.00,6.92
4200,EAST COAST,MARINE PARADE,PERSONAL_CARE,34.03,unknown,2025-04-18 14:19:19.695946,,0.00,6.92
4201,EAST COAST,MARINE PARADE,SCHOOL,65.19,unknown,2025-04-18 14:19:19.729459,,0.00,3.08
4202,EAST COAST,MARINE PARADE,VEHICLE,77.81,medium,2025-04-18 14:19:19.762193,1,0.00,0.0
4203,EAST COAST,MARINE PARADE,SPORTS_COMPLEX,42.62,high,2025-04-18 14:19:19.80436,2,0.00,26.84
4204,NATIONAL UNIVERSITY OF S'PORE,QUEENSTOWN,ARTS,35.37,low,2025-04-18 14:19:19.838489,2,0.10,0.03
4205,NATIONAL UNIVERSITY OF S'PORE,QUEENSTOWN,APPAREL,33.08,medium,2025-04-18 14:19:19.877996,3,0.07,6.94
4206,NATIONAL UNIVERSITY OF S'PORE,QUEENSTOWN,CAFE,65.98,extremely high,2025-04-18 14:19:19.934456,23,0.01,2.14
4207,NATIONAL UNIVERSITY OF S'PORE,QUEENSTOWN,CLUBS,1.53,unknown,2025-04-18 14:19:19.974375,,0.29,7.02
4208,NATIONAL UNIVERSITY OF S'PORE,QUEENSTOWN,DOCTOR,68.34,medium,2025-04-18 14:19:20.008818,3,0.07,6.94
4209,NATIONAL UNIVERSITY OF S'PORE,QUEENSTOWN,RESTAURANT,31.77,extremely high,2025-04-18 14:19:20.051417,68,0.00,8.36
4210,NATIONAL UNIVERSITY OF S'PORE,QUEENSTOWN,SHOPPING,18.58,medium,2025-04-18 14:19:20.088631,5,0.05,1.53
4211,NATIONAL UNIVERSITY OF S'PORE,QUEENSTOWN,PERSONAL_CARE,41.61,medium,2025-04-18 14:19:20.131209,5,0.05,1.53
4212,NATIONAL UNIVERSITY OF S'PORE,QUEENSTOWN,SCHOOL,31.15,extremely high,2025-04-18 14:19:20.177256,15,0.02,0.47
4213,NATIONAL UNIVERSITY OF S'PORE,QUEENSTOWN,VEHICLE,77.06,unknown,2025-04-18 14:19:20.21772,,0.29,7.02
4214,NATIONAL UNIVERSITY OF S'PORE,QUEENSTOWN,SPORTS_COMPLEX,16.88,extremely low,2025-04-18 14:19:20.254166,1,0.15,0.05
4215,ONE TREE HILL,RIVER VALLEY,ARTS,14.33,unknown,2025-04-18 14:19:20.288745,,11.20,37.67
4216,ONE TREE HILL,RIVER VALLEY,APPAREL,71.28,unknown,2025-04-18 14:19:20.335017,,11.20,25.63
4217,ONE TREE HILL,RIVER VALLEY,CAFE,74.85,unknown,2025-04-18 14:19:20.37097,,11.20,34.9
4218,ONE TREE HILL,RIVER VALLEY,CLUBS,59.65,unknown,2025-04-18 14:19:20.404617,,11.20,37.67
4219,ONE TREE HILL,RIVER VALLEY,DOCTOR,33.95,unknown,2025-04-18 14:19:20.443807,,11.20,25.63
4220,ONE TREE HILL,RIVER VALLEY,RESTAURANT,62.92,unknown,2025-04-18 14:19:20.482544,,11.20,21.82
4221,ONE TREE HILL,RIVER VALLEY,SHOPPING,16.68,unknown,2025-04-18 14:19:20.742221,,11.20,25.64
4222,ONE TREE HILL,RIVER VALLEY,PERSONAL_CARE,40.76,unknown,2025-04-18 14:19:20.780225,,11.20,25.63
4223,ONE TREE HILL,RIVER VALLEY,SCHOOL,19.06,unknown,2025-04-18 14:19:20.822388,,11.20,21.8
4224,ONE TREE HILL,RIVER VALLEY,VEHICLE,41.24,unknown,2025-04-18 14:19:20.860985,,11.20,25.63
4225,ONE TREE HILL,RIVER VALLEY,SPORTS_COMPLEX,19.08,unknown,2025-04-18 14:19:20.896558,,11.20,37.67
4226,COMMONWEALTH,QUEENSTOWN,ARTS,88.39,unknown,2025-04-18 14:19:20.93959,,50.01,51.26
4227,COMMONWEALTH,QUEENSTOWN,APPAREL,78.26,unknown,2025-04-18 14:19:20.976482,,50.01,39.22
4228,COMMONWEALTH,QUEENSTOWN,CAFE,3.97,unknown,2025-04-18 14:19:21.011493,,50.01,48.49
4229,COMMONWEALTH,QUEENSTOWN,CLUBS,73.73,unknown,2025-04-18 14:19:21.063631,,50.01,51.26
4230,COMMONWEALTH,QUEENSTOWN,DOCTOR,98.70,unknown,2025-04-18 14:19:21.097549,,50.01,39.22
4231,COMMONWEALTH,QUEENSTOWN,RESTAURANT,98.30,unknown,2025-04-18 14:19:21.134513,,50.01,35.41
4232,COMMONWEALTH,QUEENSTOWN,SHOPPING,64.86,unknown,2025-04-18 14:19:21.193244,,50.01,39.22
4233,COMMONWEALTH,QUEENSTOWN,PERSONAL_CARE,64.76,unknown,2025-04-18 14:19:21.233654,,50.01,39.22
4234,COMMONWEALTH,QUEENSTOWN,SCHOOL,61.86,unknown,2025-04-18 14:19:21.271112,,50.01,35.38
4235,COMMONWEALTH,QUEENSTOWN,VEHICLE,45.85,unknown,2025-04-18 14:19:21.305348,,50.01,39.22
4236,COMMONWEALTH,QUEENSTOWN,SPORTS_COMPLEX,38.80,unknown,2025-04-18 14:19:21.341145,,50.01,51.26
4237,DOVER,QUEENSTOWN,ARTS,90.97,medium,2025-04-18 14:19:21.379957,4,3.93,41.89
4238,DOVER,QUEENSTOWN,APPAREL,31.18,unknown,2025-04-18 14:19:21.436372,,19.63,52.79
4239,DOVER,QUEENSTOWN,CAFE,41.19,high,2025-04-18 14:19:21.472719,8,2.18,36.37
4240,DOVER,QUEENSTOWN,CLUBS,24.40,extremely low,2025-04-18 14:19:21.512166,1,9.81,52.06
4241,DOVER,QUEENSTOWN,DOCTOR,97.45,low,2025-04-18 14:19:21.549794,2,6.54,38.88
4242,DOVER,QUEENSTOWN,RESTAURANT,20.39,extremely high,2025-04-18 14:19:21.592178,21,0.89,50.82
4243,DOVER,QUEENSTOWN,SHOPPING,39.36,medium,2025-04-18 14:19:21.625795,4,3.93,54.5
4244,DOVER,QUEENSTOWN,PERSONAL_CARE,98.78,medium,2025-04-18 14:19:21.665773,3,4.91,56.2
4245,DOVER,QUEENSTOWN,SCHOOL,77.51,extremely high,2025-04-18 14:19:21.708546,18,1.03,28.7
4246,DOVER,QUEENSTOWN,VEHICLE,35.60,extremely low,2025-04-18 14:19:21.749861,1,9.81,52.05
4247,DOVER,QUEENSTOWN,SPORTS_COMPLEX,14.90,unknown,2025-04-18 14:19:21.793557,,19.63,40.62
4248,RIDOUT,TANGLIN,ARTS,55.16,unknown,2025-04-18 14:19:21.853438,,1.53,34.29
4249,RIDOUT,TANGLIN,APPAREL,42.89,unknown,2025-04-18 14:19:21.895697,,1.53,22.25
4250,RIDOUT,TANGLIN,CAFE,57.31,unknown,2025-04-18 14:19:21.937578,,1.53,31.52
4251,RIDOUT,TANGLIN,CLUBS,10.54,unknown,2025-04-18 14:19:21.979157,,1.53,34.29
4252,RIDOUT,TANGLIN,DOCTOR,41.30,unknown,2025-04-18 14:19:22.018209,,1.53,22.25
4253,RIDOUT,TANGLIN,RESTAURANT,72.37,unknown,2025-04-18 14:19:22.066552,,1.53,18.44
4254,RIDOUT,TANGLIN,SHOPPING,22.23,unknown,2025-04-18 14:19:22.114042,,1.53,22.25
4255,RIDOUT,TANGLIN,PERSONAL_CARE,29.95,unknown,2025-04-18 14:19:22.164453,,1.53,22.25
4256,RIDOUT,TANGLIN,SCHOOL,9.37,unknown,2025-04-18 14:19:22.208429,,1.53,18.41
4257,RIDOUT,TANGLIN,VEHICLE,10.22,unknown,2025-04-18 14:19:22.247367,,1.53,22.25
4258,RIDOUT,TANGLIN,SPORTS_COMPLEX,14.79,unknown,2025-04-18 14:19:22.284054,,1.53,34.29
4259,CAIRNHILL,NEWTON,ARTS,16.44,unknown,2025-04-18 14:19:22.325807,,15.20,39.07
4260,CAIRNHILL,NEWTON,APPAREL,60.96,unknown,2025-04-18 14:19:22.358708,,15.20,27.03
4261,CAIRNHILL,NEWTON,CAFE,83.51,unknown,2025-04-18 14:19:22.396646,,15.20,36.3
4262,CAIRNHILL,NEWTON,CLUBS,27.63,unknown,2025-04-18 14:19:22.429978,,15.20,39.07
4263,CAIRNHILL,NEWTON,DOCTOR,64.30,unknown,2025-04-18 14:19:22.464855,,15.20,27.03
4264,CAIRNHILL,NEWTON,RESTAURANT,46.94,unknown,2025-04-18 14:19:22.501086,,15.20,23.22
4265,CAIRNHILL,NEWTON,SHOPPING,96.81,unknown,2025-04-18 14:19:22.540355,,15.20,27.04
4266,CAIRNHILL,NEWTON,PERSONAL_CARE,20.39,unknown,2025-04-18 14:19:22.590792,,15.20,27.03
4267,CAIRNHILL,NEWTON,SCHOOL,2.18,unknown,2025-04-18 14:19:22.630538,,15.20,23.2
4268,CAIRNHILL,NEWTON,VEHICLE,15.44,unknown,2025-04-18 14:19:22.663374,,15.20,27.03
4269,CAIRNHILL,NEWTON,SPORTS_COMPLEX,19.57,unknown,2025-04-18 14:19:22.699392,,15.20,39.07
4270,CLEMENTI WEST,CLEMENTI,ARTS,71.22,unknown,2025-04-18 14:19:22.731223,,42.16,60.67
4271,CLEMENTI WEST,CLEMENTI,APPAREL,62.85,unknown,2025-04-18 14:19:22.76431,,42.16,60.67
4272,CLEMENTI WEST,CLEMENTI,CAFE,14.29,low,2025-04-18 14:19:22.816747,1,21.08,59.18
4273,CLEMENTI WEST,CLEMENTI,CLUBS,50.53,low,2025-04-18 14:19:22.857173,1,21.08,56.0
4274,CLEMENTI WEST,CLEMENTI,DOCTOR,86.95,unknown,2025-04-18 14:19:22.901302,,42.16,60.67
4275,CLEMENTI WEST,CLEMENTI,RESTAURANT,59.59,extremely high,2025-04-18 14:19:22.937234,7,5.27,52.36
4276,CLEMENTI WEST,CLEMENTI,SHOPPING,89.24,high,2025-04-18 14:19:22.971764,3,10.54,58.17
4277,CLEMENTI WEST,CLEMENTI,PERSONAL_CARE,13.35,low,2025-04-18 14:19:23.005253,1,21.08,56.0
4278,CLEMENTI WEST,CLEMENTI,SCHOOL,63.61,extremely high,2025-04-18 14:19:23.040491,5,7.03,30.8
4279,CLEMENTI WEST,CLEMENTI,VEHICLE,88.02,low,2025-04-18 14:19:23.073595,1,21.08,56.0
4280,CLEMENTI WEST,CLEMENTI,SPORTS_COMPLEX,92.09,low,2025-04-18 14:19:23.112335,1,21.08,56.0
4281,MONK'S HILL,NEWTON,ARTS,12.20,unknown,2025-04-18 14:19:23.147951,,11.96,37.94
4282,MONK'S HILL,NEWTON,APPAREL,9.60,unknown,2025-04-18 14:19:23.184508,,11.96,25.9
4283,MONK'S HILL,NEWTON,CAFE,90.59,unknown,2025-04-18 14:19:23.222416,,11.96,35.17
4284,MONK'S HILL,NEWTON,CLUBS,52.43,unknown,2025-04-18 14:19:23.267263,,11.96,37.94
4285,MONK'S HILL,NEWTON,DOCTOR,14.38,unknown,2025-04-18 14:19:23.305575,,11.96,25.9
4286,MONK'S HILL,NEWTON,RESTAURANT,23.59,unknown,2025-04-18 14:19:23.344789,,11.96,22.09
4287,MONK'S HILL,NEWTON,SHOPPING,67.55,unknown,2025-04-18 14:19:23.38633,,11.96,25.9
4288,MONK'S HILL,NEWTON,PERSONAL_CARE,47.48,unknown,2025-04-18 14:19:23.423288,,11.96,25.9
4289,MONK'S HILL,NEWTON,SCHOOL,99.39,unknown,2025-04-18 14:19:23.454194,,11.96,22.06
4290,MONK'S HILL,NEWTON,VEHICLE,48.47,unknown,2025-04-18 14:19:23.492276,,11.96,25.9
4291,MONK'S HILL,NEWTON,SPORTS_COMPLEX,50.58,unknown,2025-04-18 14:19:23.528302,,11.96,37.94
4292,SIGLAP,BEDOK,ARTS,35.50,unknown,2025-04-18 14:19:23.571104,,11.78,37.88
4293,SIGLAP,BEDOK,APPAREL,83.90,unknown,2025-04-18 14:19:23.606802,,11.78,25.84
4294,SIGLAP,BEDOK,CAFE,96.34,medium,2025-04-18 14:19:23.640351,3,2.95,42.47
4295,SIGLAP,BEDOK,CLUBS,73.10,unknown,2025-04-18 14:19:23.675872,,11.78,37.88
4296,SIGLAP,BEDOK,DOCTOR,48.75,unknown,2025-04-18 14:19:23.711748,,11.78,25.84
4297,SIGLAP,BEDOK,RESTAURANT,81.85,high,2025-04-18 14:19:23.753687,5,1.96,31.69
4298,SIGLAP,BEDOK,SHOPPING,72.97,unknown,2025-04-18 14:19:23.787157,,11.78,25.84
4299,SIGLAP,BEDOK,PERSONAL_CARE,49.67,unknown,2025-04-18 14:19:23.821733,,11.78,25.84
4300,SIGLAP,BEDOK,SCHOOL,83.03,medium,2025-04-18 14:19:23.852612,2,3.93,31.1
4301,SIGLAP,BEDOK,VEHICLE,21.35,unknown,2025-04-18 14:19:23.887653,,11.78,25.84
4302,SIGLAP,BEDOK,SPORTS_COMPLEX,78.37,low,2025-04-18 14:19:23.927161,1,5.89,48.36
4303,CLEMENTI WOODS,CLEMENTI,ARTS,10.02,medium,2025-04-18 14:19:23.960591,3,7.51,57.11
4304,CLEMENTI WOODS,CLEMENTI,APPAREL,25.35,unknown,2025-04-18 14:19:23.996483,,30.04,56.43
4305,CLEMENTI WOODS,CLEMENTI,CAFE,99.98,high,2025-04-18 14:19:24.032965,6,4.29,46.26
4306,CLEMENTI WOODS,CLEMENTI,CLUBS,90.19,low,2025-04-18 14:19:24.082119,1,15.02,53.88
4307,CLEMENTI WOODS,CLEMENTI,DOCTOR,71.40,medium,2025-04-18 14:19:24.114929,2,10.01,52.12
4308,CLEMENTI WOODS,CLEMENTI,RESTAURANT,15.14,high,2025-04-18 14:19:24.148381,4,6.01,55.24
4309,CLEMENTI WOODS,CLEMENTI,SHOPPING,26.11,high,2025-04-18 14:19:24.185589,5,5.01,46.32
4310,CLEMENTI WOODS,CLEMENTI,PERSONAL_CARE,99.43,low,2025-04-18 14:19:24.220773,1,15.02,53.88
4311,CLEMENTI WOODS,CLEMENTI,SCHOOL,92.71,extremely high,2025-04-18 14:19:24.260668,7,3.75,29.66
4312,CLEMENTI WOODS,CLEMENTI,VEHICLE,87.75,unknown,2025-04-18 14:19:24.29486,,30.04,56.43
4313,CLEMENTI WOODS,CLEMENTI,SPORTS_COMPLEX,40.56,unknown,2025-04-18 14:19:24.338721,,30.04,56.43
4314,PIONEER SECTOR,PIONEER,ARTS,64.55,unknown,2025-04-18 14:19:24.374291,,0.00,33.75
4315,PIONEER SECTOR,PIONEER,APPAREL,83.76,unknown,2025-04-18 14:19:24.408048,,0.00,6.92
4316,PIONEER SECTOR,PIONEER,CAFE,74.59,unknown,2025-04-18 14:19:24.440705,,0.00,30.98
4317,PIONEER SECTOR,PIONEER,CLUBS,40.23,unknown,2025-04-18 14:19:24.472327,,0.00,33.75
4318,PIONEER SECTOR,PIONEER,DOCTOR,4.06,unknown,2025-04-18 14:19:24.510013,,0.00,6.92
4319,PIONEER SECTOR,PIONEER,RESTAURANT,19.20,unknown,2025-04-18 14:19:24.557847,,0.00,3.11
4320,PIONEER SECTOR,PIONEER,SHOPPING,28.14,unknown,2025-04-18 14:19:24.600106,,0.00,6.92
4321,PIONEER SECTOR,PIONEER,PERSONAL_CARE,80.49,unknown,2025-04-18 14:19:24.63511,,0.00,6.92
4322,PIONEER SECTOR,PIONEER,SCHOOL,96.25,unknown,2025-04-18 14:19:24.676417,,0.00,3.08
4323,PIONEER SECTOR,PIONEER,VEHICLE,70.76,unknown,2025-04-18 14:19:24.717597,,0.00,6.92
4324,PIONEER SECTOR,PIONEER,SPORTS_COMPLEX,68.98,unknown,2025-04-18 14:19:24.755176,,0.00,33.75
4325,PENJURU CRESCENT,JURONG EAST,ARTS,22.94,unknown,2025-04-18 14:19:24.792216,,0.00,33.75
4326,PENJURU CRESCENT,JURONG EAST,APPAREL,74.01,unknown,2025-04-18 14:19:24.828975,,0.00,6.92
4327,PENJURU CRESCENT,JURONG EAST,CAFE,90.37,unknown,2025-04-18 14:19:24.864819,,0.00,30.98
4328,PENJURU CRESCENT,JURONG EAST,CLUBS,23.04,unknown,2025-04-18 14:19:24.901275,,0.00,33.75
4329,PENJURU CRESCENT,JURONG EAST,DOCTOR,55.90,unknown,2025-04-18 14:19:24.937351,,0.00,6.92
4330,PENJURU CRESCENT,JURONG EAST,RESTAURANT,77.58,unknown,2025-04-18 14:19:24.973627,,0.00,3.11
4331,PENJURU CRESCENT,JURONG EAST,SHOPPING,29.41,unknown,2025-04-18 14:19:25.016804,,0.00,6.92
4332,PENJURU CRESCENT,JURONG EAST,PERSONAL_CARE,49.06,unknown,2025-04-18 14:19:25.055878,,0.00,6.92
4333,PENJURU CRESCENT,JURONG EAST,SCHOOL,51.54,unknown,2025-04-18 14:19:25.091885,,0.00,3.08
4334,PENJURU CRESCENT,JURONG EAST,VEHICLE,55.56,extremely low,2025-04-18 14:19:25.126211,1,0.00,0.0
4335,PENJURU CRESCENT,JURONG EAST,SPORTS_COMPLEX,90.94,unknown,2025-04-18 14:19:25.172231,,0.00,33.75
4336,ORANGE GROVE,NEWTON,ARTS,87.14,unknown,2025-04-18 14:19:25.224064,,9.05,36.92
4337,ORANGE GROVE,NEWTON,APPAREL,23.02,unknown,2025-04-18 14:19:25.259336,,9.05,24.88
4338,ORANGE GROVE,NEWTON,CAFE,72.59,unknown,2025-04-18 14:19:25.304377,,9.05,34.15
4339,ORANGE GROVE,NEWTON,CLUBS,53.68,unknown,2025-04-18 14:19:25.347903,,9.05,36.92
4340,ORANGE GROVE,NEWTON,DOCTOR,0.26,unknown,2025-04-18 14:19:25.383795,,9.05,24.88
4341,ORANGE GROVE,NEWTON,RESTAURANT,50.04,unknown,2025-04-18 14:19:25.419657,,9.05,21.07
4342,ORANGE GROVE,NEWTON,SHOPPING,15.74,unknown,2025-04-18 14:19:25.455994,,9.05,24.88
4343,ORANGE GROVE,NEWTON,PERSONAL_CARE,69.20,unknown,2025-04-18 14:19:25.491412,,9.05,24.88
4344,ORANGE GROVE,NEWTON,SCHOOL,58.05,unknown,2025-04-18 14:19:25.524373,,9.05,21.04
4345,ORANGE GROVE,NEWTON,VEHICLE,71.88,unknown,2025-04-18 14:19:25.556891,,9.05,24.88
4346,ORANGE GROVE,NEWTON,SPORTS_COMPLEX,16.64,unknown,2025-04-18 14:19:25.600564,,9.05,36.92
4347,KAMPONG BUGIS,KALLANG,ARTS,80.61,unknown,2025-04-18 14:19:25.664332,,2.71,34.7
4348,KAMPONG BUGIS,KALLANG,APPAREL,66.82,unknown,2025-04-18 14:19:25.704782,,2.71,22.66
4349,KAMPONG BUGIS,KALLANG,CAFE,97.05,unknown,2025-04-18 14:19:25.736453,,2.71,31.93
4350,KAMPONG BUGIS,KALLANG,CLUBS,87.64,unknown,2025-04-18 14:19:25.77457,,2.71,34.7
4351,KAMPONG BUGIS,KALLANG,DOCTOR,13.10,low,2025-04-18 14:19:25.810745,1,1.36,15.27
4352,KAMPONG BUGIS,KALLANG,RESTAURANT,47.01,extremely high,2025-04-18 14:19:25.845097,8,0.30,23.47
4353,KAMPONG BUGIS,KALLANG,SHOPPING,7.28,low,2025-04-18 14:19:25.878052,1,1.36,15.28
4354,KAMPONG BUGIS,KALLANG,PERSONAL_CARE,74.76,low,2025-04-18 14:19:25.919656,1,1.36,15.27
4355,KAMPONG BUGIS,KALLANG,SCHOOL,89.60,unknown,2025-04-18 14:19:25.961544,,2.71,18.83
4356,KAMPONG BUGIS,KALLANG,VEHICLE,97.70,unknown,2025-04-18 14:19:26.005307,,2.71,22.66
4357,KAMPONG BUGIS,KALLANG,SPORTS_COMPLEX,69.02,high,2025-04-18 14:19:26.040628,3,0.68,34.55
4358,KENT RIDGE,QUEENSTOWN,ARTS,56.45,unknown,2025-04-18 14:19:26.076348,,1.16,34.16
4359,KENT RIDGE,QUEENSTOWN,APPAREL,45.80,unknown,2025-04-18 14:19:26.109401,,1.16,22.12
4360,KENT RIDGE,QUEENSTOWN,CAFE,66.43,medium,2025-04-18 14:19:26.144111,5,0.19,29.46
4361,KENT RIDGE,QUEENSTOWN,CLUBS,71.33,unknown,2025-04-18 14:19:26.184904,,1.16,34.16
4362,KENT RIDGE,QUEENSTOWN,DOCTOR,77.45,unknown,2025-04-18 14:19:26.225705,,1.16,22.12
4363,KENT RIDGE,QUEENSTOWN,RESTAURANT,66.08,high,2025-04-18 14:19:26.260107,6,0.17,23.58
4364,KENT RIDGE,QUEENSTOWN,SHOPPING,71.01,extremely low,2025-04-18 14:19:26.298899,1,0.58,15.06
4365,KENT RIDGE,QUEENSTOWN,PERSONAL_CARE,63.44,unknown,2025-04-18 14:19:26.338952,,1.16,22.12
4366,KENT RIDGE,QUEENSTOWN,SCHOOL,64.41,medium,2025-04-18 14:19:26.381609,4,0.23,20.44
4367,KENT RIDGE,QUEENSTOWN,VEHICLE,69.62,unknown,2025-04-18 14:19:26.41705,,1.16,22.12
4368,KENT RIDGE,QUEENSTOWN,SPORTS_COMPLEX,47.59,unknown,2025-04-18 14:19:26.453838,,1.16,34.16
4369,KAMPONG GLAM,ROCHOR,ARTS,64.91,unknown,2025-04-18 14:19:26.498571,,0.90,34.07
4370,KAMPONG GLAM,ROCHOR,APPAREL,89.77,unknown,2025-04-18 14:19:26.535173,,0.90,22.03
4371,KAMPONG GLAM,ROCHOR,CAFE,83.58,unknown,2025-04-18 14:19:26.572517,,0.90,31.3
4372,KAMPONG GLAM,ROCHOR,CLUBS,5.91,unknown,2025-04-18 14:19:26.60536,,0.90,34.07
4373,KAMPONG GLAM,ROCHOR,DOCTOR,64.19,unknown,2025-04-18 14:19:26.638204,,0.90,22.03
4374,KAMPONG GLAM,ROCHOR,RESTAURANT,59.07,unknown,2025-04-18 14:19:26.682916,,0.90,18.22
4375,KAMPONG GLAM,ROCHOR,SHOPPING,26.26,unknown,2025-04-18 14:19:26.730739,,0.90,22.03
4376,KAMPONG GLAM,ROCHOR,PERSONAL_CARE,28.67,unknown,2025-04-18 14:19:26.770254,,0.90,22.03
4377,KAMPONG GLAM,ROCHOR,SCHOOL,89.95,unknown,2025-04-18 14:19:26.809998,,0.90,18.19
4378,KAMPONG GLAM,ROCHOR,VEHICLE,40.71,unknown,2025-04-18 14:19:26.848876,,0.90,22.03
4379,KAMPONG GLAM,ROCHOR,SPORTS_COMPLEX,80.04,unknown,2025-04-18 14:19:26.896149,,0.90,34.07
4380,ALEXANDRA NORTH,BUKIT MERAH,ARTS,56.89,unknown,2025-04-18 14:19:26.940696,,6.85,36.15
4381,ALEXANDRA NORTH,BUKIT MERAH,APPAREL,72.44,unknown,2025-04-18 14:19:26.983338,,6.85,24.11
4382,ALEXANDRA NORTH,BUKIT MERAH,CAFE,0.00,unknown,2025-04-18 14:19:27.033761,,6.85,33.38
4383,ALEXANDRA NORTH,BUKIT MERAH,CLUBS,50.62,unknown,2025-04-18 14:19:27.073951,,6.85,36.15
4384,ALEXANDRA NORTH,BUKIT MERAH,DOCTOR,40.98,unknown,2025-04-18 14:19:27.115231,,6.85,24.11
4385,ALEXANDRA NORTH,BUKIT MERAH,RESTAURANT,99.23,unknown,2025-04-18 14:19:27.157059,,6.85,20.3
4386,ALEXANDRA NORTH,BUKIT MERAH,SHOPPING,13.34,unknown,2025-04-18 14:19:27.21077,,6.85,24.11
4387,ALEXANDRA NORTH,BUKIT MERAH,PERSONAL_CARE,43.95,unknown,2025-04-18 14:19:27.253269,,6.85,24.11
4388,ALEXANDRA NORTH,BUKIT MERAH,SCHOOL,49.98,unknown,2025-04-18 14:19:27.425414,,6.85,20.27
4389,ALEXANDRA NORTH,BUKIT MERAH,VEHICLE,25.20,unknown,2025-04-18 14:19:27.461909,,6.85,24.11
4390,ALEXANDRA NORTH,BUKIT MERAH,SPORTS_COMPLEX,70.71,unknown,2025-04-18 14:19:27.500567,,6.85,36.15
4391,TANGLIN HALT,QUEENSTOWN,ARTS,68.30,unknown,2025-04-18 14:19:27.549014,,43.97,49.14
4392,TANGLIN HALT,QUEENSTOWN,APPAREL,50.78,unknown,2025-04-18 14:19:27.594991,,43.97,37.1
4393,TANGLIN HALT,QUEENSTOWN,CAFE,90.29,unknown,2025-04-18 14:19:27.630086,,43.97,46.37
4394,TANGLIN HALT,QUEENSTOWN,CLUBS,42.56,unknown,2025-04-18 14:19:27.665246,,43.97,49.14
4395,TANGLIN HALT,QUEENSTOWN,DOCTOR,18.94,unknown,2025-04-18 14:19:27.700696,,43.97,37.1
4396,TANGLIN HALT,QUEENSTOWN,RESTAURANT,98.74,unknown,2025-04-18 14:19:27.736324,,43.97,33.29
4397,TANGLIN HALT,QUEENSTOWN,SHOPPING,13.33,unknown,2025-04-18 14:19:27.773657,,43.97,37.1
4398,TANGLIN HALT,QUEENSTOWN,PERSONAL_CARE,6.35,unknown,2025-04-18 14:19:27.808325,,43.97,37.1
4399,TANGLIN HALT,QUEENSTOWN,SCHOOL,30.25,unknown,2025-04-18 14:19:27.839588,,43.97,33.27
4400,TANGLIN HALT,QUEENSTOWN,VEHICLE,9.75,unknown,2025-04-18 14:19:27.873683,,43.97,37.1
4401,TANGLIN HALT,QUEENSTOWN,SPORTS_COMPLEX,79.08,unknown,2025-04-18 14:19:27.906512,,43.97,49.14
4402,MACKENZIE,ROCHOR,ARTS,64.71,unknown,2025-04-18 14:19:27.940537,,4.63,35.37
4403,MACKENZIE,ROCHOR,APPAREL,1.24,unknown,2025-04-18 14:19:27.983366,,4.63,23.33
4404,MACKENZIE,ROCHOR,CAFE,59.90,unknown,2025-04-18 14:19:28.028787,,4.63,32.6
4405,MACKENZIE,ROCHOR,CLUBS,32.72,unknown,2025-04-18 14:19:28.064996,,4.63,35.37
4406,MACKENZIE,ROCHOR,DOCTOR,56.78,unknown,2025-04-18 14:19:28.101301,,4.63,23.33
4407,MACKENZIE,ROCHOR,RESTAURANT,13.76,unknown,2025-04-18 14:19:28.137719,,4.63,19.52
4408,MACKENZIE,ROCHOR,SHOPPING,9.42,unknown,2025-04-18 14:19:28.173569,,4.63,23.34
4409,MACKENZIE,ROCHOR,PERSONAL_CARE,21.78,unknown,2025-04-18 14:19:28.205982,,4.63,23.33
4410,MACKENZIE,ROCHOR,SCHOOL,28.55,unknown,2025-04-18 14:19:28.244048,,4.63,19.5
4411,MACKENZIE,ROCHOR,VEHICLE,96.06,unknown,2025-04-18 14:19:28.286468,,4.63,23.33
4412,MACKENZIE,ROCHOR,SPORTS_COMPLEX,14.71,unknown,2025-04-18 14:19:28.328797,,4.63,35.37
4413,SUNGEI ROAD,ROCHOR,ARTS,96.03,unknown,2025-04-18 14:19:28.365829,,37.70,46.95
4414,SUNGEI ROAD,ROCHOR,APPAREL,62.18,unknown,2025-04-18 14:19:28.447873,,37.70,34.91
4415,SUNGEI ROAD,ROCHOR,CAFE,16.57,unknown,2025-04-18 14:19:28.481494,,37.70,44.18
4416,SUNGEI ROAD,ROCHOR,CLUBS,60.03,unknown,2025-04-18 14:19:28.524715,,37.70,46.95
4417,SUNGEI ROAD,ROCHOR,DOCTOR,79.45,unknown,2025-04-18 14:19:28.573056,,37.70,34.91
4418,SUNGEI ROAD,ROCHOR,RESTAURANT,0.95,unknown,2025-04-18 14:19:28.627022,,37.70,31.1
4419,SUNGEI ROAD,ROCHOR,SHOPPING,3.78,unknown,2025-04-18 14:19:28.696877,,37.70,34.91
4420,SUNGEI ROAD,ROCHOR,PERSONAL_CARE,84.29,unknown,2025-04-18 14:19:28.737324,,37.70,34.91
4421,SUNGEI ROAD,ROCHOR,SCHOOL,61.47,unknown,2025-04-18 14:19:28.780765,,37.70,31.07
4422,SUNGEI ROAD,ROCHOR,VEHICLE,27.83,unknown,2025-04-18 14:19:28.812992,,37.70,34.91
